Customer_ID,Gender,City,Account_Type,Balance,Churn,Age_Group,Income_Group
100047,Female,Delhi,Savings,803903.0,No,56-65,Low Income
100048,Female,Hyderabad,Savings,671224.0,Yes,66+,Low Income
100049,Male,Bangalore,Current,1085982.0,Yes,46-55,High Income
100050,Male,Delhi,Savings,750900.0,No,56-65,High Income
100051,Female,Hyderabad,Savings,204028.0,No,46-55,High Income
100052,Female,Delhi,Savings,555639.0,Yes,36-45,High Income
100053,Female,Bangalore,Savings,1272420.0,Yes,46-55,Middle Income
100054,Male,Mumbai,Savings,40714.0,No,56-65,High Income
100055,Male,Bangalore,Current,665882.0,Yes,56-65,High Income
100056,Female,Delhi,Current,1429563.0,Yes,56-65,Low Income
100057,Female,Bangalore,Savings,703634.0,Yes,18-25,High Income
100058,Male,Bangalore,Savings,494923.0,Yes,18-25,Middle Income
100059,Male,Mumbai,Current,172694.0,Yes,56-65,High Income
100060,Female,Chennai,Current,127365.0,No,18-25,Low Income
100061,Female,Mumbai,Savings,396272.0,No,36-45,Middle Income
100062,Male,Bangalore,Savings,368280.0,No,46-55,High Income
100063,Male,Bangalore,Savings,109080.0,No,56-65,High Income
100064,Female,Pune,Savings,985592.0,Yes,46-55,Middle Income
100065,Male,Pune,Savings,1346971.0,Yes,66+,High Income
100066,Female,Chennai,Current,202984.0,Yes,26-35,Middle Income
100067,Male,Pune,Savings,1452832.0,No,26-35,High Income
100068,Female,Bangalore,Savings,945872.0,No,26-35,High Income
100069,Female,Pune,Savings,188944.0,No,36-45,Middle Income
100070,Female,Mumbai,Current,411094.0,Yes,46-55,Middle Income
100071,Male,Kolkata,Savings,1154641.0,Yes,46-55,High Income
100072,Male,Bangalore,Savings,1353728.0,No,56-65,High Income
100073,Male,Delhi,Current,141874.0,Yes,56-65,Middle Income
100074,Female,Pune,Current,239980.0,Yes,36-45,High Income
100075,Female,Bangalore,Savings,1299996.0,No,36-45,High Income
100076,Female,Pune,Savings,88263.0,No,36-45,High Income
100077,Female,Bangalore,Savings,1079806.0,Yes,26-35,High Income
100078,Male,Delhi,Current,1463320.0,Yes,46-55,Low Income
100079,Male,Bangalore,Savings,1373770.0,Yes,66+,Low Income
100080,Male,Delhi,Savings,288580.0,Yes,36-45,Middle Income
100081,Female,Bangalore,Savings,822561.0,No,56-65,Low Income
100082,Male,Pune,Current,173863.0,Yes,36-45,High Income
100083,Male,Hyderabad,Savings,544680.0,Yes,46-55,Middle Income
100084,Female,Bangalore,Savings,75162.0,Yes,26-35,High Income
100085,Male,Bangalore,Savings,410830.0,No,46-55,High Income
100086,Female,Delhi,Current,828014.0,Yes,46-55,High Income
100087,Male,Bangalore,Current,331543.0,Yes,66+,Middle Income
100088,Male,Chennai,Current,177243.0,No,56-65,Middle Income
100089,Male,Chennai,Savings,587732.0,Yes,46-55,High Income
100090,Male,Pune,Current,461139.0,Yes,56-65,High Income
100091,Male,Delhi,Savings,125897.0,Yes,66+,High Income
100092,Male,Delhi,Savings,1191097.0,No,46-55,High Income
100093,Male,Delhi,Current,737585.0,Yes,46-55,Middle Income
100094,Female,Bangalore,Savings,1163057.0,No,26-35,High Income
100095,Male,Bangalore,Savings,779086.0,Yes,46-55,High Income
100096,Male,Kolkata,Savings,1301807.0,Yes,66+,High Income
100097,Female,Delhi,Savings,722145.0,Yes,66+,Middle Income
100098,Male,Bangalore,Savings,673909.0,No,46-55,High Income
100099,Female,Mumbai,Current,833448.0,Yes,66+,Middle Income
100100,Female,Delhi,Savings,470279.0,No,56-65,Middle Income
100101,Female,Bangalore,Current,120065.0,Yes,46-55,High Income
100102,Female,Bangalore,Current,750900.0,Yes,46-55,High Income
100103,Female,Bangalore,Savings,960596.0,No,46-55,Middle Income
100104,Male,Pune,Savings,522819.0,Yes,56-65,High Income
100105,Male,Delhi,Savings,1122417.0,Yes,56-65,High Income
100106,Female,Delhi,Savings,750900.0,No,56-65,Middle Income
100107,Male,Delhi,Savings,610363.0,Yes,66+,High Income
100108,Male,Chennai,Savings,1423693.0,Yes,46-55,High Income
100109,Male,Pune,Current,1350304.0,Yes,56-65,High Income
100110,Male,Chennai,Savings,2254249.25,No,46-55,High Income
100111,Male,Chennai,Savings,254222.0,No,56-65,High Income
100112,Male,Kolkata,Savings,835393.0,Yes,66+,Middle Income
100113,Female,Delhi,Savings,338505.0,No,18-25,Middle Income
100114,Male,Kolkata,Savings,474009.0,No,66+,High Income
100115,Male,Kolkata,Savings,667598.0,Yes,18-25,Middle Income
100116,Female,Bangalore,Current,1084950.0,Yes,36-45,High Income
100117,Female,Delhi,Savings,1206783.0,Yes,26-35,Middle Income
100118,Male,Chennai,Savings,1330690.0,Yes,66+,High Income
100119,Male,Kolkata,Current,1408808.0,No,36-45,Middle Income
100120,Male,Bangalore,Savings,369616.0,Yes,46-55,Low Income
100121,Male,Mumbai,Savings,1435790.0,No,66+,High Income
100122,Female,Pune,Savings,767082.0,No,36-45,Low Income
100123,Male,Hyderabad,Savings,862718.0,No,46-55,High Income
100124,Male,Bangalore,Savings,482954.0,No,56-65,Middle Income
100125,Female,Chennai,Current,1462101.0,No,66+,High Income
100126,Female,Chennai,Savings,1170293.0,No,36-45,High Income
100127,Male,Delhi,Savings,80178.0,No,36-45,High Income
100128,Female,Mumbai,Savings,190091.0,No,56-65,High Income
100129,Female,Kolkata,Current,142671.0,Yes,46-55,Middle Income
100130,Male,Mumbai,Savings,224743.0,No,36-45,Low Income
100131,Male,Delhi,Current,18655.0,No,46-55,High Income
100132,Female,Delhi,Savings,21431.0,Yes,56-65,High Income
100133,Male,Bangalore,Savings,938280.0,No,56-65,High Income
100134,Male,Delhi,Savings,134782.0,No,36-45,High Income
100135,Female,Pune,Savings,750900.0,Yes,56-65,High Income
100136,Male,Bangalore,Current,828855.0,Yes,66+,High Income
100137,Male,Delhi,Current,18205.0,No,26-35,Middle Income
100138,Female,Hyderabad,Current,198049.0,Yes,18-25,Middle Income
100139,Female,Delhi,Savings,1298392.0,No,46-55,High Income
100140,Female,Kolkata,Savings,1114875.0,Yes,46-55,Middle Income
100141,Female,Delhi,Savings,1018895.0,No,18-25,Low Income
100142,Male,Mumbai,Savings,485479.0,No,18-25,Middle Income
100143,Female,Mumbai,Savings,1154934.0,No,26-35,Middle Income
100144,Male,Kolkata,Savings,750900.0,No,26-35,High Income
100145,Male,Mumbai,Savings,750900.0,Yes,56-65,High Income
100146,Female,Bangalore,Savings,1208997.0,No,36-45,High Income
100147,Male,Bangalore,Savings,989157.0,No,18-25,High Income
100148,Male,Chennai,Savings,662559.0,Yes,56-65,High Income
100149,Male,Bangalore,Savings,802546.0,Yes,56-65,High Income
100150,Female,Delhi,Savings,869305.0,No,66+,Middle Income
100151,Male,Delhi,Savings,32487.0,No,18-25,High Income
100152,Female,Delhi,Savings,104380.0,No,46-55,High Income
100153,Female,Bangalore,Savings,344920.0,Yes,56-65,Middle Income
100154,Female,Mumbai,Savings,1044600.0,No,46-55,High Income
100155,Male,Delhi,Current,339344.0,No,36-45,High Income
100156,Female,Kolkata,Savings,750900.0,Yes,56-65,Middle Income
100157,Male,Mumbai,Savings,646445.0,No,26-35,High Income
100158,Female,Bangalore,Savings,66374.0,No,26-35,High Income
100159,Male,Hyderabad,Savings,687477.0,No,46-55,Middle Income
100160,Male,Delhi,Current,32995.0,No,26-35,High Income
100161,Male,Bangalore,Current,1119798.0,Yes,56-65,High Income
100162,Female,Hyderabad,Savings,732099.0,Yes,26-35,Middle Income
100163,Male,Kolkata,Savings,934686.0,No,46-55,High Income
100164,Male,Bangalore,Savings,750900.0,Yes,46-55,Middle Income
100165,Female,Delhi,Savings,1021686.0,Yes,26-35,Middle Income
100166,Male,Hyderabad,Current,1104957.0,No,18-25,Middle Income
100167,Male,Kolkata,Savings,1061311.0,Yes,46-55,High Income
100168,Male,Hyderabad,Current,724676.0,No,26-35,High Income
100169,Female,Chennai,Savings,750900.0,Yes,56-65,Middle Income
100170,Male,Delhi,Savings,1377559.0,No,56-65,High Income
100171,Female,Hyderabad,Savings,375220.0,No,26-35,Middle Income
100172,Female,Chennai,Savings,148009.0,No,56-65,Low Income
100173,Female,Hyderabad,Savings,54193.0,No,26-35,High Income
100174,Female,Kolkata,Savings,31126.0,Yes,56-65,Low Income
100175,Male,Chennai,Savings,920939.0,No,36-45,High Income
100176,Male,Delhi,Savings,879257.0,Yes,66+,High Income
100177,Female,Delhi,Savings,61954.0,No,26-35,Middle Income
100178,Female,Mumbai,Savings,267782.0,No,26-35,High Income
100179,Male,Mumbai,Savings,1242035.0,Yes,36-45,High Income
100180,Female,Hyderabad,Current,954870.0,No,56-65,Middle Income
100181,Male,Delhi,Current,750900.0,Yes,56-65,Middle Income
100182,Male,Delhi,Savings,579693.0,Yes,18-25,Middle Income
100183,Male,Bangalore,Savings,100235.0,Yes,36-45,Middle Income
100184,Female,Delhi,Savings,961581.0,Yes,46-55,Middle Income
100185,Female,Pune,Savings,184242.0,Yes,56-65,High Income
100186,Male,Mumbai,Savings,704419.0,Yes,66+,High Income
100187,Female,Bangalore,Savings,261417.0,No,66+,Middle Income
100188,Female,Delhi,Savings,880784.0,Yes,18-25,High Income
100189,Male,Pune,Savings,1172584.0,Yes,26-35,High Income
100190,Male,Delhi,Savings,164022.0,No,66+,High Income
100191,Male,Delhi,Savings,508138.0,Yes,66+,Low Income
100192,Female,Delhi,Current,1478927.0,Yes,46-55,Low Income
100193,Male,Chennai,Savings,354838.0,Yes,46-55,High Income
100194,Female,Delhi,Savings,144085.0,Yes,56-65,Low Income
100195,Female,Bangalore,Savings,283042.0,No,26-35,High Income
100196,Female,Mumbai,Savings,179135.0,Yes,56-65,Low Income
100197,Female,Bangalore,Savings,1333623.0,No,36-45,Low Income
100198,Female,Pune,Savings,40013.0,Yes,66+,High Income
100199,Male,Delhi,Savings,652250.0,Yes,26-35,High Income
100200,Female,Delhi,Current,1095624.0,No,46-55,High Income
100201,Male,Delhi,Current,647282.0,Yes,56-65,High Income
100202,Male,Delhi,Current,750900.0,No,46-55,High Income
100203,Male,Bangalore,Savings,750900.0,Yes,66+,High Income
100204,Male,Bangalore,Savings,1103761.0,Yes,46-55,High Income
100205,Female,Hyderabad,Current,834732.0,No,36-45,High Income
100206,Male,Hyderabad,Current,908919.0,Yes,36-45,Middle Income
100207,Female,Bangalore,Savings,1038903.0,No,46-55,High Income
100208,Male,Bangalore,Current,784408.0,Yes,56-65,Middle Income
100209,Female,Bangalore,Current,188041.0,No,66+,High Income
100210,Male,Chennai,Savings,973082.0,No,46-55,High Income
100211,Male,Kolkata,Savings,1388430.0,No,46-55,Middle Income
100212,Male,Kolkata,Savings,1416792.0,No,56-65,Middle Income
100213,Female,Hyderabad,Savings,822524.0,No,26-35,High Income
100214,Female,Chennai,Savings,985068.0,No,36-45,Middle Income
100215,Male,Mumbai,Savings,547954.0,Yes,18-25,Middle Income
100216,Female,Delhi,Savings,759410.0,No,18-25,Middle Income
100217,Male,Chennai,Savings,1431674.0,No,66+,Low Income
100218,Female,Bangalore,Savings,1469625.0,No,56-65,High Income
100219,Male,Delhi,Current,1315892.0,No,66+,Middle Income
100220,Female,Delhi,Savings,172855.0,Yes,36-45,High Income
100221,Male,Hyderabad,Savings,775545.0,No,26-35,Middle Income
100222,Female,Kolkata,Savings,792267.0,Yes,46-55,High Income
100223,Male,Kolkata,Savings,1196889.0,No,66+,High Income
100224,Female,Delhi,Savings,599425.0,No,18-25,Middle Income
100225,Male,Bangalore,Savings,61621.0,No,36-45,Middle Income
100226,Male,Bangalore,Savings,1326834.0,Yes,36-45,High Income
100227,Male,Delhi,Current,1411767.0,Yes,18-25,High Income
100228,Female,Hyderabad,Savings,750900.0,Yes,18-25,Middle Income
100229,Male,Bangalore,Savings,1427427.0,No,36-45,High Income
100230,Female,Delhi,Savings,750900.0,Yes,36-45,Middle Income
100231,Female,Chennai,Savings,1299620.0,No,36-45,High Income
100232,Male,Pune,Current,1266273.0,No,26-35,High Income
100233,Female,Delhi,Current,1309455.0,No,56-65,High Income
100234,Male,Pune,Savings,550010.0,Yes,26-35,Low Income
100235,Female,Pune,Savings,112692.0,Yes,26-35,Middle Income
100236,Male,Mumbai,Current,330691.0,No,66+,High Income
100237,Male,Delhi,Savings,1350841.0,No,46-55,High Income
100238,Female,Pune,Savings,478266.0,No,26-35,Middle Income
100239,Female,Kolkata,Savings,292786.0,No,66+,High Income
100240,Female,Mumbai,Savings,121488.0,Yes,46-55,Low Income
100241,Male,Chennai,Current,1194759.0,Yes,26-35,High Income
100242,Female,Mumbai,Savings,1160355.0,No,36-45,High Income
100243,Male,Delhi,Savings,918973.0,Yes,26-35,Middle Income
100244,Male,Chennai,Savings,501255.0,Yes,26-35,Low Income
100245,Female,Chennai,Current,963122.0,No,18-25,High Income
100246,Male,Pune,Savings,1478714.0,Yes,26-35,Middle Income
100247,Female,Bangalore,Savings,1395618.0,No,26-35,Middle Income
100248,Female,Kolkata,Savings,1010088.0,Yes,56-65,High Income
100249,Female,Delhi,Current,398674.0,Yes,26-35,High Income
100250,Female,Delhi,Savings,1419567.0,Yes,36-45,High Income
100251,Male,Kolkata,Savings,565178.0,No,36-45,High Income
100252,Male,Kolkata,Savings,615728.0,No,56-65,High Income
100253,Female,Bangalore,Savings,758513.0,No,66+,High Income
100254,Female,Kolkata,Savings,171643.0,No,56-65,High Income
100255,Female,Bangalore,Savings,1396605.0,No,66+,High Income
100256,Male,Kolkata,Current,889560.0,Yes,66+,High Income
100257,Female,Bangalore,Current,473009.0,No,56-65,Low Income
100258,Male,Hyderabad,Savings,411318.0,No,26-35,Low Income
100259,Male,Delhi,Savings,802323.0,No,66+,High Income
100260,Male,Delhi,Savings,1112674.0,Yes,66+,High Income
100261,Female,Delhi,Savings,616297.0,No,46-55,High Income
100262,Male,Bangalore,Current,428321.0,Yes,56-65,High Income
100263,Female,Chennai,Current,221206.0,Yes,26-35,Middle Income
100264,Female,Bangalore,Current,878120.0,No,26-35,Middle Income
100265,Male,Pune,Savings,1464564.0,No,56-65,Low Income
100266,Female,Bangalore,Savings,1193948.0,Yes,18-25,Middle Income
100267,Female,Chennai,Savings,383063.0,No,36-45,Middle Income
100268,Male,Chennai,Current,816474.0,Yes,56-65,Middle Income
100269,Male,Delhi,Savings,396667.0,No,46-55,High Income
100270,Female,Bangalore,Savings,100732.0,Yes,26-35,Low Income
100271,Male,Kolkata,Savings,1373282.0,No,46-55,Middle Income
100272,Male,Kolkata,Current,834604.0,No,56-65,High Income
100273,Male,Delhi,Savings,568142.0,No,26-35,Low Income
100274,Male,Bangalore,Savings,433346.0,Yes,56-65,Middle Income
100275,Male,Chennai,Savings,211205.0,Yes,56-65,Middle Income
100276,Male,Bangalore,Savings,1452315.0,Yes,26-35,High Income
100277,Male,Bangalore,Current,1268741.0,Yes,18-25,High Income
100278,Female,Chennai,Current,678492.0,No,26-35,Middle Income
100279,Male,Hyderabad,Savings,733634.0,Yes,18-25,Middle Income
100280,Female,Chennai,Savings,294836.0,Yes,26-35,Middle Income
100281,Female,Mumbai,Savings,386233.0,Yes,18-25,High Income
100282,Female,Mumbai,Current,179340.0,Yes,18-25,High Income
100283,Male,Hyderabad,Current,486637.0,No,56-65,High Income
100284,Male,Hyderabad,Savings,588448.0,Yes,36-45,High Income
100285,Male,Mumbai,Savings,750900.0,No,46-55,High Income
100286,Male,Delhi,Savings,448679.0,No,46-55,Low Income
100287,Female,Delhi,Savings,623654.0,No,66+,High Income
100288,Male,Delhi,Savings,1331208.0,No,66+,High Income
100289,Female,Delhi,Savings,1248578.0,Yes,36-45,High Income
100290,Female,Hyderabad,Current,973967.0,No,36-45,High Income
100291,Male,Delhi,Savings,1335362.0,No,46-55,Middle Income
100292,Male,Bangalore,Savings,623691.0,Yes,56-65,Middle Income
100293,Male,Chennai,Savings,946560.0,Yes,36-45,Middle Income
100294,Female,Delhi,Savings,1010935.0,No,26-35,Middle Income
100295,Female,Delhi,Current,1073392.0,Yes,66+,High Income
100296,Female,Mumbai,Savings,1408912.0,Yes,26-35,High Income
100297,Female,Delhi,Savings,871483.0,Yes,18-25,Middle Income
100298,Male,Delhi,Current,1128341.0,No,66+,Low Income
100299,Male,Delhi,Savings,741314.0,No,36-45,Middle Income
100300,Male,Kolkata,Savings,144947.0,Yes,66+,Middle Income
100301,Female,Bangalore,Savings,887232.0,No,18-25,Middle Income
100302,Female,Kolkata,Savings,1056371.0,Yes,18-25,High Income
100303,Female,Delhi,Current,1102569.0,No,36-45,Middle Income
100304,Male,Mumbai,Current,754758.0,No,56-65,Middle Income
100305,Female,Delhi,Current,750900.0,Yes,36-45,High Income
100306,Female,Mumbai,Current,1423918.0,No,36-45,High Income
100307,Male,Bangalore,Savings,861374.0,No,36-45,High Income
100308,Male,Bangalore,Current,1415346.0,Yes,18-25,Low Income
100309,Female,Delhi,Savings,493679.0,No,46-55,High Income
100310,Female,Chennai,Savings,1184232.0,No,36-45,High Income
100311,Male,Hyderabad,Savings,379272.0,Yes,46-55,High Income
100312,Male,Bangalore,Current,366045.0,No,66+,High Income
100313,Female,Mumbai,Savings,748603.0,No,46-55,High Income
100314,Female,Kolkata,Savings,1223162.0,No,56-65,Middle Income
100315,Male,Delhi,Savings,1364855.0,Yes,46-55,High Income
100316,Male,Kolkata,Current,1125529.0,No,36-45,Low Income
100317,Female,Mumbai,Savings,1136438.0,Yes,26-35,Low Income
100318,Male,Kolkata,Current,807697.0,Yes,18-25,Middle Income
100319,Female,Chennai,Current,32841.0,No,26-35,Middle Income
100320,Female,Kolkata,Savings,1157470.0,Yes,26-35,Low Income
100321,Female,Mumbai,Savings,238361.0,Yes,18-25,Middle Income
100322,Female,Kolkata,Current,1362496.0,No,56-65,High Income
100323,Male,Mumbai,Savings,263733.0,Yes,36-45,Middle Income
100324,Female,Pune,Savings,744163.0,No,36-45,High Income
100325,Female,Delhi,Savings,204211.0,Yes,46-55,High Income
100326,Male,Bangalore,Savings,486856.0,Yes,66+,Middle Income
100327,Female,Bangalore,Savings,156923.0,No,56-65,High Income
100328,Male,Mumbai,Savings,450187.0,No,18-25,High Income
100329,Female,Hyderabad,Savings,750900.0,No,56-65,Middle Income
100330,Male,Mumbai,Current,1312320.0,Yes,26-35,High Income
100331,Female,Delhi,Current,835535.0,No,46-55,Low Income
100332,Female,Bangalore,Savings,575723.0,Yes,56-65,Middle Income
100333,Male,Bangalore,Savings,698167.0,No,18-25,High Income
100334,Male,Mumbai,Savings,1164515.0,No,56-65,Low Income
100335,Female,Bangalore,Savings,1098337.0,Yes,26-35,High Income
100336,Female,Bangalore,Current,1319734.0,Yes,66+,High Income
100337,Female,Kolkata,Savings,1517.0,Yes,26-35,Low Income
100338,Female,Chennai,Savings,767901.0,No,26-35,High Income
100339,Male,Delhi,Savings,988358.0,Yes,66+,High Income
100340,Female,Chennai,Current,137220.0,No,56-65,High Income
100341,Male,Delhi,Current,1338868.0,Yes,66+,Low Income
100342,Female,Kolkata,Savings,1473593.0,No,46-55,High Income
100343,Male,Bangalore,Savings,751789.0,Yes,66+,High Income
100344,Male,Delhi,Savings,750900.0,No,66+,Middle Income
100345,Male,Bangalore,Savings,1466447.0,No,46-55,High Income
100346,Female,Delhi,Current,93794.0,No,26-35,High Income
100347,Female,Hyderabad,Savings,115318.0,No,56-65,Middle Income
100348,Female,Delhi,Savings,893762.0,No,56-65,Middle Income
100349,Male,Delhi,Savings,1338593.0,Yes,18-25,Middle Income
100350,Male,Pune,Current,381130.0,No,56-65,Middle Income
100351,Female,Hyderabad,Savings,442738.0,Yes,66+,Middle Income
100352,Male,Pune,Savings,259985.0,No,56-65,High Income
100353,Female,Pune,Savings,362277.0,No,66+,Middle Income
100354,Female,Mumbai,Savings,677801.0,Yes,56-65,Low Income
100355,Female,Hyderabad,Current,836498.0,No,18-25,Low Income
100356,Female,Hyderabad,Current,1192667.0,Yes,46-55,Low Income
100357,Male,Delhi,Savings,750900.0,Yes,56-65,High Income
100358,Male,Mumbai,Current,208282.0,Yes,18-25,High Income
100359,Female,Kolkata,Savings,108128.0,No,18-25,High Income
100360,Female,Hyderabad,Savings,1117083.0,No,56-65,Middle Income
100361,Male,Pune,Savings,1279270.0,No,56-65,High Income
100362,Male,Chennai,Savings,294455.0,No,36-45,Middle Income
100363,Female,Bangalore,Savings,213734.0,No,46-55,High Income
100364,Male,Delhi,Savings,1467436.0,No,66+,Middle Income
100365,Male,Kolkata,Savings,1186534.0,No,18-25,High Income
100366,Female,Bangalore,Current,685970.0,Yes,46-55,High Income
100367,Male,Bangalore,Savings,922993.0,No,66+,High Income
100368,Female,Pune,Savings,750900.0,Yes,46-55,High Income
100369,Male,Bangalore,Savings,880208.0,No,36-45,High Income
100370,Male,Mumbai,Current,998592.0,Yes,18-25,High Income
100371,Female,Bangalore,Savings,1490943.0,No,56-65,High Income
100372,Female,Bangalore,Current,1211479.0,Yes,66+,Middle Income
100373,Male,Pune,Savings,644889.0,Yes,26-35,High Income
100374,Female,Kolkata,Savings,841691.0,No,26-35,High Income
100375,Female,Mumbai,Savings,842881.0,Yes,26-35,High Income
100376,Male,Hyderabad,Savings,186750.0,Yes,26-35,High Income
100377,Male,Hyderabad,Current,1273190.0,Yes,66+,High Income
100378,Female,Chennai,Current,532657.0,No,56-65,High Income
100379,Female,Kolkata,Savings,424937.0,No,26-35,High Income
100380,Male,Bangalore,Savings,750900.0,No,18-25,Low Income
100381,Female,Bangalore,Savings,765442.0,No,26-35,Middle Income
100382,Female,Delhi,Savings,121682.0,Yes,46-55,High Income
100383,Male,Delhi,Savings,339076.0,No,46-55,Middle Income
100384,Male,Delhi,Savings,541578.0,Yes,66+,High Income
100385,Female,Hyderabad,Savings,253251.0,No,18-25,Middle Income
100386,Male,Bangalore,Current,1384407.0,Yes,46-55,High Income
100387,Male,Delhi,Savings,1199050.0,Yes,46-55,High Income
100388,Female,Chennai,Savings,610100.0,No,56-65,High Income
100389,Male,Delhi,Savings,942890.0,Yes,36-45,Middle Income
100390,Female,Hyderabad,Savings,750900.0,Yes,26-35,Low Income
100391,Female,Mumbai,Savings,924859.0,Yes,56-65,High Income
100392,Female,Pune,Current,1000142.0,Yes,56-65,High Income
100393,Female,Chennai,Savings,844539.0,Yes,46-55,High Income
100394,Male,Delhi,Savings,1308775.0,No,46-55,Middle Income
100395,Male,Kolkata,Savings,1318191.0,Yes,56-65,High Income
100396,Male,Chennai,Savings,1178894.0,Yes,56-65,High Income
100397,Female,Kolkata,Savings,233724.0,Yes,36-45,High Income
100398,Male,Hyderabad,Savings,274992.0,No,36-45,High Income
100399,Male,Pune,Savings,225499.0,No,18-25,Middle Income
100400,Female,Mumbai,Savings,672937.0,No,56-65,Middle Income
100401,Male,Bangalore,Current,505932.0,No,26-35,High Income
100402,Male,Hyderabad,Savings,658404.0,Yes,36-45,Middle Income
100403,Male,Kolkata,Current,821598.0,No,26-35,Middle Income
100404,Male,Delhi,Savings,1323168.0,Yes,56-65,High Income
100405,Female,Mumbai,Savings,658373.0,Yes,46-55,Middle Income
100406,Female,Kolkata,Savings,409825.0,Yes,36-45,High Income
100407,Female,Kolkata,Savings,677968.0,Yes,26-35,Middle Income
100408,Female,Delhi,Savings,756639.0,Yes,26-35,High Income
100409,Female,Delhi,Savings,678275.0,No,26-35,High Income
100410,Female,Bangalore,Savings,1275268.0,No,26-35,Middle Income
100411,Female,Pune,Savings,380414.0,Yes,18-25,Middle Income
100412,Female,Chennai,Savings,876533.0,Yes,36-45,Middle Income
100413,Male,Chennai,Current,977647.0,No,46-55,Low Income
100414,Male,Delhi,Current,1156581.0,No,66+,Middle Income
100415,Male,Delhi,Savings,432620.0,Yes,46-55,High Income
100416,Female,Pune,Savings,750900.0,Yes,46-55,Middle Income
100417,Male,Hyderabad,Savings,66096.0,No,46-55,High Income
100418,Male,Delhi,Current,60214.0,No,46-55,High Income
100419,Male,Bangalore,Savings,1224834.0,No,36-45,Middle Income
100420,Male,Pune,Savings,51560.0,No,66+,High Income
100421,Male,Delhi,Savings,448869.0,No,26-35,High Income
100422,Female,Mumbai,Savings,750900.0,No,36-45,Middle Income
100423,Male,Kolkata,Current,1387235.0,No,56-65,Middle Income
100424,Female,Bangalore,Savings,971332.0,No,46-55,Middle Income
100425,Female,Pune,Current,750900.0,No,26-35,Low Income
100426,Male,Mumbai,Savings,560385.0,Yes,56-65,High Income
100427,Female,Bangalore,Savings,811975.0,Yes,66+,Middle Income
100428,Female,Chennai,Savings,575916.0,Yes,36-45,Middle Income
100429,Female,Bangalore,Current,333930.0,Yes,26-35,High Income
100430,Male,Delhi,Current,261334.0,Yes,66+,High Income
100431,Female,Kolkata,Savings,286011.0,Yes,18-25,High Income
100432,Female,Delhi,Savings,309638.0,Yes,66+,High Income
